File.ID	File.Name	Data.Category	Data.Type	Project.ID	Case.ID	Sample.ID	Sample.Type	id	filename	md5	size	state
cd0ff4a0-8814-48dd-b52f-1ab3bf0fe188	e02415f3-1e9b-4a00-ae4b-4cdd7a2db1fc_wxs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-OV	TCGA-20-1687	TCGA-20-1687-10A	Blood Derived Normal	cd0ff4a0-8814-48dd-b52f-1ab3bf0fe188	e02415f3-1e9b-4a00-ae4b-4cdd7a2db1fc_wxs_gdc_realn.bam	168d46aadd302a0874733a5562be0865	35639521448	released
6dcc0a26-d95e-4c71-b28a-ed559cf9508b	6c109d04-f6cd-40ac-af34-b40427cdc2ce_wxs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-OV	TCGA-25-2409	TCGA-25-2409-10A	Blood Derived Normal	6dcc0a26-d95e-4c71-b28a-ed559cf9508b	6c109d04-f6cd-40ac-af34-b40427cdc2ce_wxs_gdc_realn.bam	bb04f42339832a68587abb497da2e251	23886766552	released
59bea55c-2817-4bc2-b337-47a7822a3bca	f42a36b5-fef4-4342-ab47-b6af05b2a796_wxs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-OV	TCGA-13-1495	TCGA-13-1495-10A	Blood Derived Normal	59bea55c-2817-4bc2-b337-47a7822a3bca	f42a36b5-fef4-4342-ab47-b6af05b2a796_wxs_gdc_realn.bam	d4b2c92a80f18d4f3cd40bd006c1ddb2	24045393014	released
3418c706-2518-4aee-b30e-8ca0834df674	a85bfc07-cb19-4f18-95c7-306d862c2083_wxs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-OV	TCGA-25-2396	TCGA-25-2396-10A	Blood Derived Normal	3418c706-2518-4aee-b30e-8ca0834df674	a85bfc07-cb19-4f18-95c7-306d862c2083_wxs_gdc_realn.bam	2844716c952469ddfd37447fdd826050	43182775080	released
387086ea-d418-4188-86c6-355e5cfa91ef	47f0b411-30a1-4a8b-a1d4-946e5e68728c_wxs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-OV	TCGA-61-1906	TCGA-61-1906-11A	Solid Tissue Normal	387086ea-d418-4188-86c6-355e5cfa91ef	47f0b411-30a1-4a8b-a1d4-946e5e68728c_wxs_gdc_realn.bam	d343384ce7971fb5610694f4562ccae7	31987330617	released
107cf93d-00c2-46c4-9012-3283417b716a	890630c8-41fc-48f3-88c2-4fe374f68d7a_wxs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-OV	TCGA-09-0366	TCGA-09-0366-10B	Blood Derived Normal	107cf93d-00c2-46c4-9012-3283417b716a	890630c8-41fc-48f3-88c2-4fe374f68d7a_wxs_gdc_realn.bam	3852269fff5cb4f7ba6c987f539937a3	47065396605	released
605c1ef3-c499-42b2-9cbc-11e84eda5e38	79fa14ed-bc6b-444f-a2d0-b69ec117defd_wxs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-OV	TCGA-09-0366	TCGA-09-0366-10B	Blood Derived Normal	605c1ef3-c499-42b2-9cbc-11e84eda5e38	79fa14ed-bc6b-444f-a2d0-b69ec117defd_wxs_gdc_realn.bam	a014bf29fa1de5fc6f7c00aaccb8151e	30856067206	released
9c61afa9-da72-43c2-9463-60bf17607370	7ed7a0dc-81fa-498f-b03c-a39217bdf5b3_wxs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-OV	TCGA-29-1705	TCGA-29-1705-10A	Blood Derived Normal	9c61afa9-da72-43c2-9463-60bf17607370	7ed7a0dc-81fa-498f-b03c-a39217bdf5b3_wxs_gdc_realn.bam	e28af7a314509b2652f33125fa125ab7	29672010017	released
1f00d85e-f23e-4e94-aec0-1bb7d7944174	8f030058-0672-4e55-9c1e-b8b9e1443440_wxs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-OV	TCGA-61-1736	TCGA-61-1736-11A	Solid Tissue Normal	1f00d85e-f23e-4e94-aec0-1bb7d7944174	8f030058-0672-4e55-9c1e-b8b9e1443440_wxs_gdc_realn.bam	7f36011e478563ea94f559fe8cf1f6c4	24386676463	released
b3f2ddbe-c1a2-4f92-b34e-53a432f09442	f4580d27-fac8-4f4f-a926-cb30314493b0_wxs_gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-OV	TCGA-61-1728	TCGA-61-1728-11A	Solid Tissue Normal	b3f2ddbe-c1a2-4f92-b34e-53a432f09442	f4580d27-fac8-4f4f-a926-cb30314493b0_wxs_gdc_realn.bam	7a2e12e27820d434f5075d7f61f331da	47395613027	released
